Round,ID,Contribution,Total Points Sent,Cost,Punishment Received,Punishment Tax Rate,Earnings,Cumulative Earnings,Key
10,14,3,0,0,0,0,5.5,41.75,302
10,15,3,0,0,0,0,5.5,33.91,303
10,16,3,1,0.2,0,0,5.3,37.85,304
10,17,2,0,0,13,1,0.0,25.29,305
10,18,3,10,2,3,0.3,2.1,40.95,306
10,19,3,0,0,3,0.3,3.5,35.76,307
10,20,2,9,1.8,0,0,4.2,33.84,308
10,21,3,0,0,2,0.2,4.8,39.8,309
10,22,3,3,0.6,1,0.1,4.86,44.73,310
10,23,3,3,0.6,1,0.1,4.86,46.24,311
10,24,3,0,0,2,0.2,4.8,44.9,312
10,25,0,9,1.8,0,0,1.7,31.4,313
10,26,1,0,0,4,0.4,1.5,29.29,314
10,27,0,0,0,3,0.3,2.45,30.78,315
10,28,0,1,0.2,3,0.3,2.31,41.36,316
10,29,3,5,1,0,0,4.0,36.1,317
10,30,1,3,0.6,20,1,0.0,30.01,318
10,31,3,5,1,1,0.1,3.6,30.6,319
10,32,3,10,2,2,0.2,2.4,33.13,320
